"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5615961248.550741,0,142,0,0,yes,1.000000
23,,469798696.622515,635891578.335470,0,28,0,0,yes,1.000000
22,,3384307306.297791,3386741184.077638,0,105,0,0,yes,1.000000
21,,442251180.267135,477892401.163090,0,11,0,0,yes,1.000000
20,,812126096.550814,1044811551.347600,0,73,0,0,yes,1.000000
19,,714455355.802341,859615354.243150,0,19,0,0,yes,1.000000
18,,5992419.187795,33874378.771990,0,11,0,0,yes,1.000000
17,,38223068.882032,139732108.674810,0,4,0,0,yes,1.000000
16,,5360396423.750958,5360981800.830503,0,140,0,0,yes,1.000000
15,,475740709.534277,484240170.784190,0,36,0,0,yes,1.000000
14,,117877661.072850,119769995.909190,0,20,0,0,yes,1.000000
13,,106269847.207610,115707375.983390,0,12,0,0,yes,1.000000
12,,108375713.653612,141495307.829580,0,9,0,0,yes,1.000000
11,,203099116.837551,203318964.543480,0,39,0,0,yes,1.000000
10,,110238644.596040,116676414.758810,0,17,0,0,yes,1.000000
9,,238284629.509380,242971214.668940,0,14,0,0,yes,1.000000
8,,257928662.232081,268234171.103000,0,39,0,0,yes,1.000000
7,,434248527.484422,479018673.325650,0,37,0,0,yes,1.000000
6,,468737987.304786,486892804.208980,0,37,0,0,yes,1.000000
5,,301455310.442283,343368866.041500,0,17,0,0,yes,1.000000
4,,107541997.643654,118690626.835440,0,13,0,0,yes,1.000000
3,,276535527.748922,298183093.991200,0,15,0,0,yes,1.000000
2,,192323344.329095,201640913.900850,0,30,0,0,yes,1.000000
1,,118118429.428616,127708302.480470,0,10,0,0,yes,1.000000
