"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1531575457.930100,1531575457.930100,126,3670063.000000,18942285.000000,216647.000000,3670063.000000,15055575.000000,0.011437,0.000000,0.000000,0,1.000000
2,1523261397.293700,1523261397.293700,121,3624631.000000,18942285.000000,183254.000000,3624631.000000,15134400.000000,0.009674,0.000000,0.000000,0,1.000000
3,1479376153.278821,1479365916.938400,126,3540790.000000,18942285.000000,210952.000000,3540790.000000,15190543.000000,0.011137,10236.340421,4151.233926,0,0.999999
4,1529314097.625789,1527172799.419400,126,3688197.000000,18942285.000000,227561.000000,3688197.000000,15026527.000000,0.012013,2141298.206389,889999.563621,0,0.996549
5,1634756811.245795,1633327399.510279,129,3771221.000000,18942285.000000,206511.000000,3771221.000000,14964553.000000,0.010902,1429411.735516,485209.514990,0,0.995599
6,1518449979.213476,1516166599.910850,131,3624787.000000,18942285.000000,239067.000000,3624787.000000,15078431.000000,0.012621,2283379.302627,761987.998342,0,0.992969
7,1517876903.374319,1513097263.329200,124,3709524.000000,18942285.000000,201543.000000,3709524.000000,15031218.000000,0.010640,4779640.045119,1594109.233769,0,0.987698
8,1486625305.413530,1486625305.413530,121,3508146.000000,18942285.000000,188752.000000,3508146.000000,15245387.000000,0.009965,0.000000,0.000000,0,1.000000
9,1511803318.955980,1511803318.955980,127,3861698.000000,18942285.000000,141714.000000,3861698.000000,14938873.000000,0.007481,0.000000,0.000000,0,1.000000
10,1535952758.414800,1535952758.414800,120,3564822.000000,18942285.000000,178141.000000,3564822.000000,15199322.000000,0.009404,0.000000,0.000000,0,1.000000
