"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5634246061.668423,0,130,0,0,yes,1.000000
23,,469798696.622515,766513382.397950,0,25,0,0,yes,1.000000
22,,3384307306.297791,3585195617.566410,0,99,0,0,yes,1.000000
21,,442251180.267135,487251042.214830,0,9,0,0,yes,1.000000
20,,812126096.550814,1173074050.046320,0,73,0,0,yes,1.000000
19,,714455355.802341,742862364.934070,0,19,0,0,yes,1.000000
18,,5992419.187795,28476495.226560,0,10,0,0,yes,1.000000
17,,38223068.882032,66437970.702150,0,2,0,0,yes,1.000000
16,,5360396423.750958,5360398148.710423,0,126,0,0,yes,1.000000
15,,475740709.534277,504957949.345710,0,36,0,0,yes,1.000000
14,,117877661.072850,125522814.737810,0,12,0,0,yes,1.000000
13,,106269847.207610,128848489.913560,0,8,0,0,yes,1.000000
12,,108375713.653612,107613725.655270,0,11,0,0,yes,0.992969
11,,203099116.837551,207670806.051280,0,33,0,0,yes,1.000000
10,,110238644.596040,113297451.576660,0,17,0,0,yes,1.000000
9,,238284629.509380,267268799.758320,0,18,0,0,yes,1.000000
8,,257928662.232081,263565702.614240,0,33,0,0,yes,1.000000
7,,434248527.484422,434569223.624010,0,32,0,0,yes,1.000000
6,,468737987.304786,481247181.435060,0,33,0,0,yes,1.000000
5,,301455310.442283,310668027.878420,0,17,0,0,yes,1.000000
4,,107541997.643654,133520202.258280,0,10,0,0,yes,1.000000
3,,276535527.748922,327111984.720200,0,12,0,0,yes,1.000000
2,,192323344.329095,203762249.112800,0,32,0,0,yes,1.000000
1,,118118429.428616,131534123.307130,0,10,0,0,yes,1.000000
