"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5617208513.255799,0,146,0,0,yes,1.000000
23,,469798696.622515,622445400.849610,0,30,0,0,yes,1.000000
22,,3384307306.297791,3454358628.654830,0,105,0,0,yes,1.000000
21,,442251180.267135,490562921.029280,0,11,0,0,yes,1.000000
20,,812126096.550814,1223834159.637690,0,79,0,0,yes,1.000000
19,,714455355.802341,761940155.272930,0,19,0,0,yes,1.000000
18,,5992419.187795,30611853.383800,0,10,0,0,yes,1.000000
17,,38223068.882032,121959420.380860,0,3,0,0,yes,1.000000
16,,5360396423.750958,5360390241.396500,0,144,0,0,yes,0.999999
15,,475740709.534277,557111438.133780,0,39,0,0,yes,1.000000
14,,117877661.072850,136961671.723620,0,13,0,0,yes,1.000000
13,,106269847.207610,107199374.021950,0,13,0,0,yes,1.000000
12,,108375713.653612,115595678.857900,0,10,0,0,yes,1.000000
11,,203099116.837551,230570048.996610,0,37,0,0,yes,1.000000
10,,110238644.596040,131460817.714850,0,14,0,0,yes,1.000000
9,,238284629.509380,247542922.915520,0,15,0,0,yes,1.000000
8,,257928662.232081,263759782.949190,0,36,0,0,yes,1.000000
7,,434248527.484422,444096784.238780,0,36,0,0,yes,1.000000
6,,468737987.304786,486035426.502440,0,36,0,0,yes,1.000000
5,,301455310.442283,306579812.433090,0,15,0,0,yes,1.000000
4,,107541997.643654,120446161.077630,0,9,0,0,yes,1.000000
3,,276535527.748922,281098661.822270,0,11,0,0,yes,1.000000
2,,192323344.329095,200722208.164040,0,31,0,0,yes,1.000000
1,,118118429.428616,124765537.335940,0,9,0,0,yes,1.000000
