"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1064336.244947,1062429.820924,104,2285841.000000,18942285.000000,446537.000000,2285841.000000,16209907.000000,0.023574,1906.424024,161984.575495,0,0.972968
2,1138671.333691,1117257.787232,107,2296278.000000,18942285.000000,474520.000000,2296278.000000,16171487.000000,0.025051,21413.546459,4275124.899190,1,0.772378
3,1126688.161984,1117324.119263,105,2356690.000000,18942285.000000,428582.000000,2356690.000000,16157013.000000,0.022626,9364.042720,7386292.902641,0,0.950904
4,1091782.647081,1089689.957032,107,2255553.000000,18942285.000000,512503.000000,2255553.000000,16174229.000000,0.027056,2092.690049,231971.647375,0,0.972968
5,1064673.488754,1061850.039795,104,2303678.000000,18942285.000000,430148.000000,2303678.000000,16208459.000000,0.022708,2823.448959,1363149.049120,0,0.972968
6,1151915.563070,1138462.017701,104,2261809.000000,18942285.000000,456634.000000,2261809.000000,16223842.000000,0.024107,13453.545369,8860882.177134,1,0.943688
7,1098059.627840,1093997.609864,105,2376498.000000,18942285.000000,421746.000000,2376498.000000,16144041.000000,0.022265,4062.017977,2985487.817180,0,0.972968
8,1095249.883885,1090545.094361,105,2443232.000000,18942285.000000,392399.000000,2443232.000000,16106654.000000,0.020716,4704.789524,1426692.640520,0,0.972968
9,1156217.049008,1154924.964600,106,2269621.000000,18942285.000000,498494.000000,2269621.000000,16174170.000000,0.026316,1292.084408,482966.723047,0,0.999276
10,1126585.233831,1126534.199586,107,2328101.000000,18942285.000000,476559.000000,2328101.000000,16137625.000000,0.025158,51.034246,4336.265435,0,0.999276
