"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5618899369.692352,0,144,0,0,yes,1.000000
23,,469798696.622515,709772602.150420,0,37,0,0,yes,1.000000
22,,3384307306.297791,3434492819.514160,0,100,0,0,yes,1.000000
21,,442251180.267135,456017089.941400,0,11,0,0,yes,1.000000
20,,812126096.550814,905297212.168400,0,72,0,0,yes,1.000000
19,,714455355.802341,736532808.073740,0,19,0,0,yes,1.000000
18,,5992419.187795,27705676.722660,0,7,0,0,yes,1.000000
17,,38223068.882032,72782076.083500,0,2,0,0,yes,1.000000
16,,5360396423.750958,5360442643.191843,0,143,0,0,yes,1.000000
15,,475740709.534277,491341155.880860,0,31,0,0,yes,1.000000
14,,117877661.072850,130348174.680160,0,17,0,0,yes,1.000000
13,,106269847.207610,114153539.187490,0,17,0,0,yes,1.000000
12,,108375713.653612,113127941.270530,0,12,0,0,yes,1.000000
11,,203099116.837551,205685680.633330,0,42,0,0,yes,1.000000
10,,110238644.596040,114572825.294920,0,16,0,0,yes,1.000000
9,,238284629.509380,277404246.289070,0,15,0,0,yes,1.000000
8,,257928662.232081,269842607.660160,0,40,0,0,yes,1.000000
7,,434248527.484422,448624251.029760,0,38,0,0,yes,1.000000
6,,468737987.304786,524623239.456030,0,42,0,0,yes,1.000000
5,,301455310.442283,325304165.836910,0,16,0,0,yes,1.000000
4,,107541997.643654,111266895.012190,0,11,0,0,yes,1.000000
3,,276535527.748922,298056506.151850,0,11,0,0,yes,1.000000
2,,192323344.329095,192384016.898410,0,26,0,0,yes,1.000000
1,,118118429.428616,119250353.706050,0,9,0,0,yes,1.000000
