"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5688436903.910111,0,101,0,0,yes,1.000000
23,,469798696.622515,1978817832.569320,0,36,0,0,yes,1.000000
22,,3384307306.297791,3384358375.698699,0,70,0,0,yes,1.000000
21,,442251180.267135,449260948.633300,0,11,0,0,yes,1.000000
20,,812126096.550814,826206864.061990,0,39,0,0,yes,1.000000
19,,714455355.802341,720553853.531740,0,21,0,0,yes,1.000000
18,,5992419.187795,5830434.612300,0,5,0,0,yes,0.972968
17,,38223068.882032,59313234.005860,0,3,0,0,yes,1.000000
16,,5360396423.750958,5389799228.136621,0,101,0,0,yes,1.000000
15,,475740709.534277,480545153.457030,0,14,0,0,yes,1.000000
14,,117877661.072850,143429055.384770,0,8,0,0,yes,1.000000
13,,106269847.207610,123157586.122060,0,8,0,0,yes,1.000000
12,,108375713.653612,110989478.111340,0,10,0,0,yes,1.000000
11,,203099116.837551,304373358.022000,0,48,0,0,yes,1.000000
10,,110238644.596040,132309354.229480,0,16,0,0,yes,1.000000
9,,238284629.509380,246483772.252930,0,7,0,0,yes,1.000000
8,,257928662.232081,453952650.672370,0,48,0,0,yes,1.000000
7,,434248527.484422,441060260.008300,0,47,0,0,yes,1.000000
6,,468737987.304786,1401461716.639161,0,46,0,0,yes,1.000000
5,,301455310.442283,349448310.703620,0,16,0,0,yes,1.000000
4,,107541997.643654,109807285.254880,0,10,0,0,yes,1.000000
3,,276535527.748922,312594841.802230,0,13,0,0,yes,1.000000
2,,192323344.329095,191122179.855470,0,15,0,0,yes,0.993754
1,,118118429.428616,137989801.779800,0,7,0,0,yes,1.000000
