"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5617405220.767531,0,102,0,0,yes,1.000000
23,,469798696.622515,1967328701.043450,0,40,0,0,yes,1.000000
22,,3384307306.297791,3385283146.199699,0,70,0,0,yes,1.000000
21,,442251180.267135,455963253.004400,0,14,0,0,yes,1.000000
20,,812126096.550814,869863377.750460,0,45,0,0,yes,1.000000
19,,714455355.802341,714600597.013680,0,18,0,0,yes,1.000000
18,,5992419.187795,5654975.424310,0,4,0,0,no,0.943688
17,,38223068.882032,78772662.107910,0,3,0,0,yes,1.000000
16,,5360396423.750958,5526626203.037541,0,99,0,0,yes,1.000000
15,,475740709.534277,492589290.441400,0,14,0,0,yes,1.000000
14,,117877661.072850,154134167.954600,0,10,0,0,yes,1.000000
13,,106269847.207610,121876087.726560,0,11,0,0,yes,1.000000
12,,108375713.653612,111268065.887210,0,10,0,0,yes,1.000000
11,,203099116.837551,253052421.434100,0,47,0,0,yes,1.000000
10,,110238644.596040,111760291.566880,0,15,0,0,yes,1.000000
9,,238284629.509380,247605081.212400,0,8,0,0,yes,1.000000
8,,257928662.232081,362530166.708490,0,47,0,0,yes,1.000000
7,,434248527.484422,493101067.246100,0,46,0,0,yes,1.000000
6,,468737987.304786,1262793272.625500,0,46,0,0,yes,1.000000
5,,301455310.442283,362801216.383290,0,15,0,0,yes,1.000000
4,,107541997.643654,105980822.898450,0,9,0,0,yes,0.985483
3,,276535527.748922,283216045.923820,0,11,0,0,yes,1.000000
2,,192323344.329095,185361080.660650,0,14,0,0,yes,0.963799
1,,118118429.428616,122004898.767590,0,6,0,0,yes,1.000000
