"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5616010427.025845,0,127,0,0,yes,1.000000
23,,469798696.622515,786055077.297860,0,25,0,0,yes,1.000000
22,,3384307306.297791,3632630664.255370,0,97,0,0,yes,1.000000
21,,442251180.267135,523283539.710930,0,12,0,0,yes,1.000000
20,,812126096.550814,1176342467.545860,0,59,0,0,yes,1.000000
19,,714455355.802341,721422225.722170,0,18,0,0,yes,1.000000
18,,5992419.187795,7388497.121570,0,7,0,0,yes,1.000000
17,,38223068.882032,64833327.105960,0,1,0,0,yes,1.000000
16,,5360396423.750958,5365824313.076654,0,123,0,0,yes,1.000000
15,,475740709.534277,557946304.993170,0,36,0,0,yes,1.000000
14,,117877661.072850,139235340.393060,0,10,0,0,yes,1.000000
13,,106269847.207610,122786915.868650,0,9,0,0,yes,1.000000
12,,108375713.653612,140349661.971190,0,11,0,0,yes,1.000000
11,,203099116.837551,228532620.071780,0,35,0,0,yes,1.000000
10,,110238644.596040,109753435.081050,0,16,0,0,yes,0.995599
9,,238284629.509380,330945408.141610,0,15,0,0,yes,1.000000
8,,257928662.232081,281710479.597160,0,35,0,0,yes,1.000000
7,,434248527.484422,437323490.059070,0,33,0,0,yes,1.000000
6,,468737987.304786,529657767.604980,0,34,0,0,yes,1.000000
5,,301455310.442283,323161366.124500,0,16,0,0,yes,1.000000
4,,107541997.643654,112169008.876460,0,12,0,0,yes,1.000000
3,,276535527.748922,300145724.972660,0,15,0,0,yes,1.000000
2,,192323344.329095,194889424.536600,0,31,0,0,yes,1.000000
1,,118118429.428616,121304988.618180,0,10,0,0,yes,1.000000
