pu_id,area
2,4928358.2309570300
22,165506.4536132810
24,1542154.3193359400
45,27067485.9545898000
46,37345915.2539063000
66,11581332.8720703000
67,17283177.2465820000
68,31603186.4482422000
89,60528550.7866211000
90,40839571.9555664000
91,1562981.0571289100
92,6821065.8696289100
110,7724705.7768554700
111,64856717.8725586000
112,37722929.7944336000
133,64136970.5048828000
134,64951905.2836914000
135,25987180.5053711000
136,19439380.7377930000
154,19247276.6923828000
155,64951905.2836914000
156,64951905.2836914000
157,58983996.3701172000
158,4639577.2583007800
176,6917220.1508789100
177,64951905.2841797000
178,64951905.2836914000
179,64951905.2841797000
180,62872494.4589844000
181,19364149.2167969000
198,64929004.9140625000
199,64951905.2841797000
200,64951905.2836914000
201,64951905.2836914000
202,64951905.2836914000
203,16246247.7128906000
220,16883130.8979492000
221,64951905.2836914000
222,64951905.2836914000
223,64951905.2832031000
224,64951905.2832031000
225,64951905.2832031000
226,15504689.8583984000
239,3056.6743164062
242,64209042.5444336000
243,64951905.2836914000
244,64951905.2836914000
245,64951905.2836914000
246,64951905.2841797000
247,64951905.2836914000
248,15161480.0346680000
259,3035822.9194335900
261,25588301.7861328000
264,466412.1093750000
265,64951905.2836914000
266,64951905.2836914000
267,64951905.2841797000
268,64951905.2841797000
269,64951905.2841797000
270,64951905.2841797000
281,1072475.8188476600
283,10620665.5971680000
284,23280402.5605469000
286,57830192.7402344000
287,64951905.2836914000
288,64951905.2841797000
289,64951905.2841797000
290,64951905.2836914000
291,64951905.2836914000
292,58658837.7729492000
293,1061544.7436523400
303,46386666.9326172000
305,64951905.2841797000
306,5249084.3759765600
308,879744.2670898440
309,64951905.2841797000
310,64951905.2836914000
311,64951905.2841797000
312,64951905.2841797000
313,64951905.2836914000
314,64951905.2836914000
315,54390101.8095703000
316,1727559.3530273400
322,1060360.9506835900
323,6482818.2431640600
325,42454781.7685547000
326,49282469.5864258000
327,56482784.8447266000
328,63873166.1298828000
329,59704.2993164062
330,55810768.8452148000
331,64951905.2836914000
332,64951905.2836914000
333,64951905.2836914000
334,64951905.2836914000
335,64951905.2836914000
336,64951905.2846680000
337,58285266.0688477000
338,306604.8647460940
342,2357226.5161132800
343,29488034.9462891000
344,11622125.4736328000
345,42074597.0507813000
346,18624565.0239258000
347,64951905.2832031000
348,61332096.4516602000
349,64951905.2832031000
350,59133640.0556641000
352,725492.7685546880
353,64951905.2836914000
354,64951905.2841797000
355,64951905.2836914000
356,64951905.2836914000
357,64951905.2841797000
358,64951905.2841797000
359,64951905.2836914000
360,58353011.0283203000
363,76452.1474609375
364,16044346.2182617000
365,51364998.8032227000
366,62642098.7929687000
367,61079924.0141602000
368,34087986.4111328000
369,64951905.2836914000
370,64951905.2841797000
371,64951905.2841797000
372,64951905.2836914000
373,23786963.8481445000
374,45052406.2202149000
375,64951905.2832031000
376,64951905.2841797000
377,64951905.2832031000
378,64951905.2841797000
379,64951905.2841797000
380,64951905.2832031000
381,64951905.2841797000
382,56447739.7319336000
383,17041246.8427734000
384,7294204.6284179700
385,29823250.8110352000
386,49375340.5498047000
387,64951905.2841797000
388,64951905.2836914000
389,64951905.2841797000
390,64951905.2841797000
391,64951905.2841797000
392,64951905.2841797000
393,64951905.2836914000
