spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
25,0,1.09647e+10,0,0,0,276,0,0,0
24,1,5.6094e+10,0,0,0,1123,0,0,0
23,2,4.69799e+09,0,0,0,155,0,0,0
22,3,3.38431e+10,0,0,0,786,0,0,0
21,4,4.42251e+09,0,0,0,119,0,0,0
20,5,8.12126e+09,0,0,0,380,0,0,0
19,6,7.14455e+09,0,0,0,203,0,0,0
18,7,5.99242e+07,0,0,0,43,0,0,0
17,8,3.82231e+08,0,0,0,15,0,0,0
16,9,5.36034e+10,0,0,0,1079,0,0,0
15,10,4.75741e+09,0,0,0,243,0,0,0
14,11,1.17878e+09,0,0,0,92,0,0,0
13,12,1.06358e+09,0,0,0,139,0,0,0
12,13,1.08384e+09,0,0,0,124,0,0,0
11,14,2.03099e+09,0,0,0,304,0,0,0
10,15,1.10332e+09,0,0,0,172,0,0,0
9,16,2.38285e+09,0,0,0,140,0,0,0
8,17,2.57929e+09,0,0,0,305,0,0,0
7,18,4.34249e+09,0,0,0,300,0,0,0
6,19,4.68738e+09,0,0,0,299,0,0,0
5,20,3.01455e+09,0,0,0,175,0,0,0
4,21,1.07542e+09,0,0,0,109,0,0,0
3,22,2.76536e+09,0,0,0,133,0,0,0
2,23,1.92323e+09,0,0,0,231,0,0,0
1,24,1.18118e+09,0,0,0,92,0,0,0
