"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,974708976.567001,972865428.567001,65,1843548.000000,18942285.000000,100482.000000,1843548.000000,16998255.000000,0.005305,0.000000,0.000000,0,1.000000
2,940584475.396043,937578147.918001,60,1698022.000000,18942285.000000,94832.000000,1698022.000000,17149431.000000,0.005006,1308305.478042,339237.714422,0,0.999219
3,955913858.797815,950731693.368501,65,1884198.000000,18942285.000000,99051.000000,1884198.000000,16959036.000000,0.005229,3297967.429314,907964.569279,0,0.997880
4,1029828494.920501,1027855723.920501,68,1972771.000000,18942285.000000,86500.000000,1972771.000000,16883014.000000,0.004567,0.000000,0.000000,0,1.000000
5,1001225907.328524,996730525.144901,65,1845796.000000,18942285.000000,90000.000000,1845796.000000,17006489.000000,0.004751,2649586.183622,688108.160397,0,0.998065
6,940373543.173416,938248289.587001,62,1841186.000000,18942285.000000,65863.000000,1841186.000000,17035236.000000,0.003477,284067.586415,77510.344245,0,0.999597
7,957535939.673501,955567283.673501,68,1968656.000000,18942285.000000,83528.000000,1968656.000000,16890101.000000,0.004410,0.000000,0.000000,0,1.000000
8,1002342744.842147,1000032456.504501,65,1866574.000000,18942285.000000,59085.000000,1866574.000000,17016626.000000,0.003119,443714.337645,121071.367175,0,0.999370
9,1004558952.327973,998493426.012401,65,1867062.000000,18942285.000000,72380.000000,1867062.000000,17002843.000000,0.003821,4198464.315572,1255981.037220,0,0.994729
10,961208102.279692,959260112.749401,59,1626939.000000,18942285.000000,87283.000000,1626939.000000,17228063.000000,0.004608,321050.530291,83246.955652,0,0.999808
