"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,0.000000,409890716.846680,0,8,0,0,,1.000000
24,,0.000000,3036702864.364731,0,60,0,0,,1.000000
23,,0.000000,672815730.295900,0,17,0,0,,1.000000
22,,0.000000,1588734852.315440,0,37,0,0,,1.000000
21,,0.000000,280079276.328620,0,8,0,0,,1.000000
20,,0.000000,315396996.435030,0,20,0,0,,1.000000
19,,0.000000,354972186.029790,0,9,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,20454395.016600,0,1,0,0,,1.000000
16,,0.000000,3104955791.057590,0,61,0,0,,1.000000
15,,0.000000,94218000.243660,0,9,0,0,,1.000000
14,,0.000000,17511078.770510,0,2,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,88028827.405260,0,8,0,0,,1.000000
11,,0.000000,125325585.333010,0,29,0,0,,1.000000
10,,110332387.515864,112341705.285650,0,12,0,0,yes,1.000000
9,,238284629.509380,244754716.644040,0,8,0,0,yes,1.000000
8,,257928662.232081,259655220.851560,0,29,0,0,yes,1.000000
7,,434248527.484422,435631595.840310,0,28,0,0,yes,1.000000
6,,468737987.304786,470639563.048340,0,28,0,0,yes,1.000000
5,,301455310.442283,318017461.632330,0,12,0,0,yes,1.000000
4,,107541997.643654,108655508.131830,0,6,0,0,yes,1.000000
3,,276535527.748922,284180333.255380,0,9,0,0,yes,1.000000
2,,192323344.329095,192245833.984850,0,9,0,0,yes,0.999597
1,,118118429.428616,140410137.550780,0,7,0,0,yes,1.000000
