"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9790332177.182995,9787958279.182995,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
2,9801187494.732994,9798783596.732994,284,2403898.000000,18942285.000000,3101308.000000,2403898.000000,13437079.000000,0.163724,0.000000,0.000000,0,1.000000
3,9790342177.182995,9787958279.182995,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
4,9784919518.412994,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
5,9790332177.182997,9787958279.182997,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
6,9818082572.236395,9815021573.052994,285,2423898.000000,18942285.000000,3106308.000000,2423898.000000,13412079.000000,0.163988,637101.183400,138801.415436,1,0.998825
7,9784919518.412994,9782545620.412994,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
8,9774084200.862995,9771720302.862995,282,2363898.000000,18942285.000000,3091308.000000,2363898.000000,13487079.000000,0.163196,0.000000,0.000000,0,1.000000
9,9774074200.862995,9771720302.862995,282,2353898.000000,18942285.000000,3096308.000000,2353898.000000,13492079.000000,0.163460,0.000000,0.000000,0,1.000000
10,9806580153.502995,9804196255.502995,284,2383898.000000,18942285.000000,3111308.000000,2383898.000000,13447079.000000,0.164252,0.000000,0.000000,0,1.000000
