id1,id2,boundary
2,2,9360.0
2,24,829.0
2,46,830.0
22,22,3996.0
22,45,33.0
24,24,9430.0
24,46,3899.0
24,68,153.0
45,45,23846.0
45,66,3213.0
45,89,4726.0
46,46,31391.0
46,67,2721.0
46,68,5000.0
46,90,5000.0
66,66,13475.0
66,89,4860.0
67,67,27701.0
67,89,4417.0
67,90,3351.0
67,111,4546.0
68,68,21717.0
68,90,2208.0
68,91,1875.0
89,89,10535.0
89,110,2682.0
89,111,5000.0
89,133,5000.0
90,90,28043.0
90,111,4765.0
90,112,3337.0
90,134,5000.0
91,91,3970.0
92,92,11945.0
92,136,2541.0
110,110,10677.0
110,133,4302.0
111,111,692.0
111,133,5000.0
111,134,5000.0
111,155,5000.0
112,112,41378.0
112,134,5000.0
112,135,3463.0
112,156,5000.0
133,133,2407.0
133,154,3428.0
133,155,5000.0
133,177,5000.0
134,155,5000.0
134,156,5000.0
134,178,5000.0
135,135,54282.0
135,156,5000.0
135,157,3631.0
135,179,5000.0
136,136,49655.0
136,157,3220.0
136,180,3666.0
154,154,14843.0
154,176,409.0
154,177,5000.0
154,198,5000.0
155,177,5000.0
155,178,5000.0
155,199,5000.0
156,178,5000.0
156,179,5000.0
156,200,5000.0
157,157,12737.0
157,179,5000.0
157,180,5000.0
157,201,5000.0
158,158,7789.0
158,180,1813.0
158,181,164.0
158,202,5000.0
176,176,11492.0
176,198,4859.0
177,198,5000.0
177,199,5000.0
177,221,5000.0
178,199,5000.0
178,200,5000.0
178,222,5000.0
179,200,5000.0
179,201,5000.0
179,223,5000.0
180,180,5112.0
180,201,5000.0
180,202,5000.0
180,224,5000.0
181,181,14702.0
181,202,5000.0
181,203,2840.0
181,225,5000.0
198,198,423.0
198,220,4667.0
198,221,5000.0
198,242,5000.0
199,221,5000.0
199,222,5000.0
199,243,5000.0
200,222,5000.0
200,223,5000.0
200,244,5000.0
201,223,5000.0
201,224,5000.0
201,245,5000.0
202,224,5000.0
202,225,5000.0
202,246,5000.0
203,203,14993.0
203,225,5000.0
203,226,175.0
203,247,5000.0
220,220,12952.0
220,242,5000.0
220,264,377.0
221,242,5000.0
221,243,5000.0
221,265,5000.0
222,243,5000.0
222,244,5000.0
222,266,5000.0
223,244,5000.0
223,245,5000.0
223,267,5000.0
224,245,5000.0
224,246,5000.0
224,268,5000.0
225,246,5000.0
225,247,5000.0
225,269,5000.0
226,226,10660.0
226,247,5000.0
226,248,1630.0
226,270,5000.0
239,239,163.0
239,261,132.0
242,242,3675.0
242,264,2217.0
242,265,5000.0
