"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,4215644323.545841,0,68,0,0,,1.000000
23,,0.000000,152331491.416010,0,6,0,0,,1.000000
22,,0.000000,1627028942.307150,0,36,0,0,,1.000000
21,,0.000000,6361988.384770,0,2,0,0,,1.000000
20,,0.000000,78835972.224110,0,7,0,0,,1.000000
19,,0.000000,590273176.983390,0,13,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,3903061787.748020,0,67,0,0,,1.000000
15,,0.000000,85173916.487810,0,9,0,0,,1.000000
14,,0.000000,24188901.944820,0,3,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,31590527.797370,0,4,0,0,,1.000000
11,,0.000000,289933752.151870,0,36,0,0,,1.000000
10,,110238644.596040,115094402.147950,0,12,0,0,yes,1.000000
9,,238284629.509380,259172278.823730,0,6,0,0,yes,1.000000
8,,257928662.232081,312789766.626950,0,36,0,0,yes,1.000000
7,,434248527.484422,926282723.738770,0,36,0,0,yes,1.000000
6,,468737987.304786,469522037.067880,0,36,0,0,yes,1.000000
5,,301455310.442283,318083432.993170,0,12,0,0,yes,1.000000
4,,107541997.643654,108821978.402830,0,10,0,0,yes,1.000000
3,,276535527.748922,297655690.451660,0,13,0,0,yes,1.000000
2,,192323344.329095,195374255.618640,0,9,0,0,yes,1.000000
1,,118118429.428616,124279662.640140,0,7,0,0,yes,1.000000
