"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,5313374666.586847,0,94,0,0,,1.000000
23,,0.000000,64951905.283690,0,1,0,0,,1.000000
22,,0.000000,2973551571.452150,0,58,0,0,,1.000000
21,,0.000000,436587934.280750,0,19,0,0,,1.000000
20,,0.000000,40643748.781240,0,5,0,0,,1.000000
19,,0.000000,1137500555.145500,0,25,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,1604643.596190,0,1,0,0,,1.000000
16,,0.000000,5358907435.667921,0,94,0,0,,1.000000
15,,0.000000,82257237.168460,0,5,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,4291671.412110,0,2,0,0,,1.000000
12,,0.000000,14781420.298830,0,8,0,0,,1.000000
11,,0.000000,165793959.071290,0,26,0,0,,1.000000
10,,110238644.596040,115445351.838390,0,25,0,0,yes,1.000000
9,,238284629.509380,245245656.568380,0,17,0,0,yes,1.000000
8,,257928662.232081,315362679.227050,0,26,0,0,yes,1.000000
7,,434248527.484422,435522924.784680,0,26,0,0,yes,1.000000
6,,468737987.304786,477721906.601560,0,26,0,0,yes,1.000000
5,,301455310.442283,691983528.090330,0,26,0,0,yes,1.000000
4,,107541997.643654,121929730.402350,0,10,0,0,yes,1.000000
3,,276535527.748922,278077314.759270,0,13,0,0,yes,1.000000
2,,192323344.329095,208008496.091310,0,5,0,0,yes,1.000000
1,,118118429.428616,397922041.021960,0,34,0,0,yes,1.000000
