i,BLM,cost,boundary length
1,0,949318418.978066,1773178
2,27.8255940220712,945361708.838801,1681692.7
3,774.263682681127,1029038821.5179,1164970.5
4,21544.3469003188,1749643711.9156,620342.3
5,599484.250318941,3762363893.9112,618720.7
6,16681005.3720006,4240376586.4468,615675.5
7,464158883.361277,4235839644.432,633067.7
8,12915496650.1488,3289355640.4876,616002
9,359381366380.463,4291251629.6275,655664.3
10,1e+13,5283167664.726,657037.5
