"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,2861037426.249490,0,66,0,0,,1.000000
23,,0.000000,0.000000,0,0,0,0,,1.000000
22,,0.000000,1490990469.634290,0,30,0,0,,1.000000
21,,0.000000,0.000000,0,0,0,0,,1.000000
20,,0.000000,52198955.404290,0,4,0,0,,1.000000
19,,0.000000,85359899.988280,0,7,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,10307752.573240,0,2,0,0,,1.000000
16,,0.000000,4049138432.839820,0,72,0,0,,1.000000
15,,0.000000,98950572.961920,0,7,0,0,,1.000000
14,,0.000000,5356169.927250,0,1,0,0,,1.000000
13,,0.000000,50915255.080070,0,12,0,0,,1.000000
12,,0.000000,216629434.611320,0,21,0,0,,1.000000
11,,0.000000,283961386.445800,0,34,0,0,,1.000000
10,,110238644.596040,144813702.786600,0,21,0,0,yes,1.000000
9,,238284629.509380,252684970.304200,0,7,0,0,yes,1.000000
8,,257928662.232081,567064117.596680,0,35,0,0,yes,1.000000
7,,434248527.484422,438183132.919910,0,36,0,0,yes,1.000000
6,,468737987.304786,473703725.636710,0,34,0,0,yes,1.000000
5,,301455310.442283,301626809.081540,0,21,0,0,yes,1.000000
4,,107541997.643654,114663966.812010,0,7,0,0,yes,1.000000
3,,276535527.748922,276882481.215340,0,10,0,0,yes,1.000000
2,,192323344.329095,194208497.725580,0,7,0,0,yes,1.000000
1,,118118429.428616,147497542.026850,0,8,0,0,yes,1.000000
