"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,3548379612.148891,0,74,0,0,,1.000000
23,,0.000000,262848111.587890,0,9,0,0,,1.000000
22,,0.000000,1838211333.062520,0,54,0,0,,1.000000
21,,0.000000,1043258727.833980,0,22,0,0,,1.000000
20,,0.000000,33686942.397460,0,5,0,0,,1.000000
19,,0.000000,475492015.215810,0,15,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,3925887544.585380,0,70,0,0,,1.000000
15,,0.000000,110542006.721670,0,8,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,108658855.763660,0,22,0,0,,1.000000
11,,0.000000,299192712.731960,0,29,0,0,,1.000000
10,,110238644.596040,124097864.526350,0,22,0,0,yes,1.000000
9,,238284629.509380,267389945.144530,0,19,0,0,yes,1.000000
8,,257928662.232081,258172157.079090,0,29,0,0,yes,1.000000
7,,434248527.484422,558086521.223630,0,29,0,0,yes,1.000000
6,,468737987.304786,480310554.152840,0,29,0,0,yes,1.000000
5,,301455310.442283,302073435.821300,0,22,0,0,yes,1.000000
4,,107541997.643654,107934676.842280,0,9,0,0,yes,1.000000
3,,276535527.748922,416651961.314460,0,20,0,0,yes,1.000000
2,,192323344.329095,195626914.597160,0,9,0,0,yes,1.000000
1,,118118429.428616,122691183.434590,0,9,0,0,yes,1.000000
