"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1003640899.156886,953178157.276501,61,1684652.000000,18942285.000000,99051.000000,1684652.000000,17158582.000000,0.005229,3586299.259915,1183877.396424,0,0.991083
2,992420573.456000,945172239.287501,60,1609068.000000,18942285.000000,102363.000000,1609068.000000,17230854.000000,0.005404,2475061.246593,804852.102016,0,0.993340
3,995037836.572625,948215844.174001,59,1661515.000000,18942285.000000,90629.000000,1661515.000000,17190141.000000,0.004784,589350.547042,189429.131950,0,0.999205
4,973510376.766957,926837337.489001,57,1630238.000000,18942285.000000,80000.000000,1630238.000000,17232047.000000,0.004223,1310698.530603,446052.869281,0,0.998271
5,1043818452.302488,990262870.897001,64,1889919.000000,18942285.000000,81473.000000,1889919.000000,16970893.000000,0.004301,967462.576889,341174.408005,0,0.998770
6,1002141566.327284,955727882.189001,59,1625626.000000,18942285.000000,92239.000000,1625626.000000,17224420.000000,0.004869,1179675.030560,430424.755272,0,0.998444
7,976880220.885346,930661737.369001,59,1658524.000000,18942285.000000,94659.000000,1658524.000000,17189102.000000,0.004997,69068.016484,24631.965057,0,0.999953
8,961225081.147072,913110781.829501,59,1599135.000000,18942285.000000,102756.000000,1599135.000000,17240394.000000,0.005425,3617418.021086,1342902.522062,0,0.993610
9,1001210327.042172,945259832.938001,58,1613920.000000,18942285.000000,89359.000000,1613920.000000,17239006.000000,0.004717,11042211.400070,3641170.138818,0,0.987955
10,1002255063.599378,945190404.938501,63,1844330.000000,18942285.000000,72009.000000,1844330.000000,17025946.000000,0.003801,5745080.838150,2063022.942022,0,0.997009
