"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,7262905893.180586,0,142,0,0,,1.000000
23,,0.000000,0.000000,0,0,0,0,,1.000000
22,,0.000000,3214564693.124980,0,73,0,0,,1.000000
21,,0.000000,667057350.099120,0,21,0,0,,1.000000
20,,0.000000,50869181.640620,0,4,0,0,,1.000000
19,,0.000000,2534481805.806140,0,60,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,5951255094.017081,0,135,0,0,,1.000000
15,,0.000000,339438020.632340,0,21,0,0,,1.000000
14,,0.000000,1043101.947750,0,1,0,0,,1.000000
13,,0.000000,302341063.855940,0,32,0,0,,1.000000
12,,0.000000,130135322.943830,0,34,0,0,,1.000000
11,,0.000000,276642449.217760,0,33,0,0,,1.000000
10,,110238644.596040,264736259.456030,0,58,0,0,yes,1.000000
9,,238284629.509380,240532883.393080,0,17,0,0,yes,1.000000
8,,257928662.232081,591965921.665520,0,34,0,0,yes,1.000000
7,,434248527.484422,492057457.833990,0,34,0,0,yes,1.000000
6,,468737987.304786,474586765.468740,0,33,0,0,yes,1.000000
5,,301455310.442283,1264007284.540520,0,60,0,0,yes,1.000000
4,,107541997.643654,112431808.788100,0,10,0,0,yes,1.000000
3,,276535527.748922,301919859.459960,0,12,0,0,yes,1.000000
2,,192323344.329095,194073410.660650,0,21,0,0,yes,1.000000
1,,118118429.428616,173671567.406740,0,16,0,0,yes,1.000000
