"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,4968620901.847619,0,86,0,0,,1.000000
23,,0.000000,353637639.833980,0,10,0,0,,1.000000
22,,0.000000,2721614015.989220,0,54,0,0,,1.000000
21,,0.000000,442650026.143060,0,19,0,0,,1.000000
20,,0.000000,6891125.520020,0,4,0,0,,1.000000
19,,0.000000,1023603297.947730,0,21,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,4648372221.339792,0,82,0,0,,1.000000
15,,0.000000,41553115.815920,0,7,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,9883339.615720,0,6,0,0,,1.000000
11,,0.000000,110613794.797360,0,21,0,0,,1.000000
10,,110238644.596040,122563161.057140,0,23,0,0,yes,1.000000
9,,238284629.509380,240762093.970720,0,16,0,0,yes,1.000000
8,,257928662.232081,258494483.878410,0,21,0,0,yes,1.000000
7,,434248527.484422,440481358.649430,0,21,0,0,yes,1.000000
6,,468737987.304786,507318161.526360,0,21,0,0,yes,1.000000
5,,301455310.442283,676907425.364250,0,24,0,0,yes,1.000000
4,,107541997.643654,114169946.930670,0,10,0,0,yes,1.000000
3,,276535527.748922,293656856.705080,0,13,0,0,yes,1.000000
2,,192323344.329095,194981473.077150,0,7,0,0,yes,1.000000
1,,118118429.428616,330190758.993150,0,31,0,0,yes,1.000000
