"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,8676345494.592697,0,166,0,0,,1.000000
23,,0.000000,0.000000,0,0,0,0,,1.000000
22,,0.000000,2976344135.624489,0,85,0,0,,1.000000
21,,0.000000,867367714.111820,0,32,0,0,,1.000000
20,,0.000000,36422802.047850,0,3,0,0,,1.000000
19,,0.000000,3181531900.443850,0,80,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,6675531893.026361,0,156,0,0,,1.000000
15,,0.000000,282845808.848640,0,27,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,385994776.128400,0,42,0,0,,1.000000
12,,0.000000,163970674.185530,0,44,0,0,,1.000000
11,,0.000000,271894950.815910,0,33,0,0,,1.000000
10,,110238644.596040,349133305.324700,0,80,0,0,yes,1.000000
9,,238284629.509380,247045248.729490,0,19,0,0,yes,1.000000
8,,257928662.232081,557876796.981430,0,34,0,0,yes,1.000000
7,,434248527.484422,474514155.234860,0,34,0,0,yes,1.000000
6,,468737987.304786,470104733.781240,0,33,0,0,yes,1.000000
5,,301455310.442283,1846987036.596160,0,84,0,0,yes,1.000000
4,,107541997.643654,128861304.534680,0,11,0,0,yes,1.000000
3,,276535527.748922,276166496.265620,0,13,0,0,yes,0.998666
2,,192323344.329095,193510938.134260,0,27,0,0,yes,1.000000
1,,118118429.428616,118191392.606950,0,13,0,0,yes,1.000000
