"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,3885935823.900380,0,81,0,0,,1.000000
23,,0.000000,293690926.961920,0,9,0,0,,1.000000
22,,0.000000,1862767485.997079,0,52,0,0,,1.000000
21,,0.000000,1290243000.138180,0,27,0,0,,1.000000
20,,0.000000,8406819.988770,0,2,0,0,,1.000000
19,,0.000000,395425651.700680,0,12,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,4275575565.737238,0,75,0,0,,1.000000
15,,0.000000,61125288.360830,0,7,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,4126321.727540,0,7,0,0,,1.000000
12,,0.000000,123836972.392570,0,20,0,0,,1.000000
11,,0.000000,294662533.968240,0,41,0,0,,1.000000
10,,110238644.596040,139682551.532200,0,21,0,0,yes,1.000000
9,,238284629.509380,250650423.524410,0,17,0,0,yes,1.000000
8,,257928662.232081,356156045.692380,0,41,0,0,yes,1.000000
7,,434248527.484422,438619726.492670,0,41,0,0,yes,1.000000
6,,468737987.304786,1066849156.814950,0,41,0,0,yes,1.000000
5,,301455310.442283,312493528.319340,0,21,0,0,yes,1.000000
4,,107541997.643654,120133426.128420,0,4,0,0,yes,1.000000
3,,276535527.748922,307588845.579100,0,13,0,0,yes,1.000000
2,,192323344.329095,199068865.833980,0,7,0,0,yes,1.000000
1,,118118429.428616,124313204.763190,0,11,0,0,yes,1.000000
