"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,2987135762.526821,0,56,0,0,,1.000000
23,,0.000000,661343208.220700,0,14,0,0,,1.000000
22,,0.000000,1373323456.583010,0,33,0,0,,1.000000
21,,0.000000,454374421.466780,0,10,0,0,,1.000000
20,,0.000000,166266727.138660,0,13,0,0,,1.000000
19,,0.000000,250496421.224120,0,7,0,0,,1.000000
18,,0.000000,146554.604000,0,1,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,3030043661.475060,0,56,0,0,,1.000000
15,,0.000000,48573756.286610,0,7,0,0,,1.000000
14,,0.000000,5983770.701660,0,2,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,97590963.530250,0,10,0,0,,1.000000
11,,0.000000,130004465.781760,0,29,0,0,,1.000000
10,,110238644.596040,117930447.964360,0,13,0,0,yes,1.000000
9,,238284629.509380,238095200.377430,0,11,0,0,yes,0.999205
8,,257928662.232081,265526302.886720,0,29,0,0,yes,1.000000
7,,434248527.484422,434710056.444330,0,28,0,0,yes,1.000000
6,,468737987.304786,478589586.219730,0,27,0,0,yes,1.000000
5,,301455310.442283,306125618.394040,0,13,0,0,yes,1.000000
4,,107541997.643654,111847868.853020,0,9,0,0,yes,1.000000
3,,276535527.748922,277938488.394040,0,9,0,0,yes,1.000000
2,,192323344.329095,201546942.341810,0,7,0,0,yes,1.000000
1,,118118429.428616,122560197.108380,0,8,0,0,yes,1.000000
