"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15369195183.770096,1536987828.709000,66,637303.000000,18942285.000000,666902.000000,637303.000000,17638080.000000,0.035207,101930442.447229,950269.582897,0,0.996978
2,15011647215.161556,1663452665.171000,72,616780.000000,18942285.000000,768967.000000,616780.000000,17556538.000000,0.040595,60072268.811934,581238.099595,0,0.996978
3,15451131141.500834,1878192594.299999,69,630000.000000,18942285.000000,720000.000000,630000.000000,17592285.000000,0.038010,0.000000,0.000000,0,1.000000
4,13613917555.245338,1764526760.069999,58,550000.000000,18942285.000000,595000.000000,550000.000000,17797285.000000,0.031411,0.000000,0.000000,0,1.000000
5,14216946692.064898,1721225489.879999,59,580000.000000,18942285.000000,595000.000000,580000.000000,17767285.000000,0.031411,0.000000,0.000000,0,1.000000
6,16349730746.986778,1699574854.769999,60,680000.000000,18942285.000000,560000.000000,680000.000000,17702285.000000,0.029563,0.000000,0.000000,0,1.000000
7,15118729810.152630,1560010531.905999,69,629340.000000,18942285.000000,718401.000000,629340.000000,17594544.000000,0.037926,0.000000,0.000000,0,1.000000
8,16219826936.436779,1569671044.220002,68,680000.000000,18942285.000000,680000.000000,680000.000000,17582285.000000,0.035899,0.000000,0.000000,0,1.000000
9,15074370791.264465,1932319182.069999,56,610000.000000,18942285.000000,535000.000000,610000.000000,17797285.000000,0.028244,0.000000,0.000000,0,1.000000
10,14881640839.248087,2170476168.060000,72,590000.000000,18942285.000000,785000.000000,590000.000000,17567285.000000,0.041442,0.000000,0.000000,0,1.000000
