"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,349525929473.919922,2712300979.406003,121,578520.000000,18942285.000000,1524190.000000,578520.000000,16839575.000000,0.080465,0.000000,0.000000,0,1.000000
2,367736790369.583984,2051397675.029999,85,610000.000000,18942285.000000,970000.000000,610000.000000,17362285.000000,0.051208,0.000000,0.000000,0,1.000000
3,366974234773.029724,1684501683.686000,77,609340.000000,18942285.000000,848401.000000,609340.000000,17484544.000000,0.044789,0.000000,0.000000,0,1.000000
4,375436620386.343445,3756385188.600010,137,620000.000000,18942285.000000,1745000.000000,620000.000000,16577285.000000,0.092122,0.000000,0.000000,0,1.000000
5,362107546662.102478,6630506997.189998,210,590000.000000,18942285.000000,2855000.000000,590000.000000,15497285.000000,0.150721,1781331976.737160,634402.137685,0,0.996701
6,338293018413.447083,2581838234.840002,72,560000.000000,18942285.000000,800000.000000,560000.000000,17582285.000000,0.042234,0.000000,0.000000,0,1.000000
7,365536221666.434814,5845671475.070000,175,600000.000000,18942285.000000,2325000.000000,600000.000000,16017285.000000,0.122741,0.000000,0.000000,0,1.000000
8,381085052728.062988,3409975027.130004,104,630000.000000,18942285.000000,1245000.000000,630000.000000,17067285.000000,0.065726,0.000000,0.000000,0,1.000000
9,413637875762.311768,6380048760.890006,183,679347.000000,18942285.000000,2405000.000000,679347.000000,15857938.000000,0.126965,0.000000,0.000000,0,1.000000
10,428204830643.718323,2571012917.269999,93,710000.000000,18942285.000000,1040000.000000,710000.000000,17192285.000000,0.054904,0.000000,0.000000,0,1.000000
