"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5615955257.824730,0,125,0,0,yes,1.000000
23,,469798696.622515,1149964738.810050,0,34,0,0,yes,1.000000
22,,3384307306.297791,3584591517.463370,0,93,0,0,yes,1.000000
21,,442251180.267135,446932067.117680,0,13,0,0,yes,1.000000
20,,812126096.550814,1230192748.227501,0,64,0,0,yes,1.000000
19,,714455355.802341,719811173.466790,0,18,0,0,yes,1.000000
18,,5992419.187795,7416634.084960,0,8,0,0,yes,1.000000
17,,38223068.882032,137016384.092290,0,4,0,0,yes,1.000000
16,,5360396423.750958,5360544408.965281,0,125,0,0,yes,1.000000
15,,475740709.534277,504165934.743190,0,33,0,0,yes,1.000000
14,,117877661.072850,117826540.323730,0,13,0,0,yes,0.999566
13,,106269847.207610,108394498.524890,0,8,0,0,yes,1.000000
12,,108375713.653612,117228395.852530,0,11,0,0,yes,1.000000
11,,203099116.837551,203550877.953140,0,38,0,0,yes,1.000000
10,,110238644.596040,118011189.832520,0,19,0,0,yes,1.000000
9,,238284629.509380,254367324.810570,0,16,0,0,yes,1.000000
8,,257928662.232081,293069704.371090,0,37,0,0,yes,1.000000
7,,434248527.484422,441182428.318330,0,34,0,0,yes,1.000000
6,,468737987.304786,493673711.615230,0,37,0,0,yes,1.000000
5,,301455310.442283,309116278.513670,0,19,0,0,yes,1.000000
4,,107541997.643654,117964247.699700,0,12,0,0,yes,1.000000
3,,276535527.748922,289026245.851560,0,14,0,0,yes,1.000000
2,,192323344.329095,232104372.170380,0,31,0,0,yes,1.000000
1,,118118429.428616,149049160.584960,0,10,0,0,yes,1.000000
