"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15599635.451539,15599635.451539,133,3765740.000000,18942285.000000,198550.000000,3765740.000000,14977995.000000,0.010482,0.000000,0.000000,0,1.000000
2,15202363.480912,15191949.035676,123,3612479.000000,18942285.000000,191857.000000,3612479.000000,15137949.000000,0.010129,10414.445236,347541.132142,0,0.996793
3,15416602.008780,15416438.257910,127,3700568.000000,18942285.000000,154730.000000,3700568.000000,15086987.000000,0.008168,163.750870,6631.467689,0,0.999999
4,15414299.066456,15413748.471546,123,3429928.000000,18942285.000000,256629.000000,3429928.000000,15255728.000000,0.013548,550.594910,22103.960086,0,0.999953
5,15271566.499820,15271566.499820,126,3721636.000000,18942285.000000,150073.000000,3721636.000000,15070576.000000,0.007923,0.000000,0.000000,0,1.000000
6,15213192.813525,15207870.156894,129,3843354.000000,18942285.000000,140046.000000,3843354.000000,14958885.000000,0.007393,5322.656631,216620.553314,0,0.997986
7,15069538.807242,15068190.410242,127,3553097.000000,18942285.000000,201006.000000,3553097.000000,15188182.000000,0.010611,1348.397000,51120.749120,0,0.999566
8,15276118.717027,15275966.945099,119,3446278.000000,18942285.000000,184306.000000,3446278.000000,15311701.000000,0.009730,151.771929,6146.352948,0,0.999999
9,15739739.967505,15670181.996429,126,3718609.000000,18942285.000000,147297.000000,3718609.000000,15076379.000000,0.007776,69557.971076,2582664.163463,0,0.991433
10,15384958.870166,15384958.870166,118,3514135.000000,18942285.000000,181200.000000,3514135.000000,15246950.000000,0.009566,0.000000,0.000000,0,1.000000
